sead-result,title,sead-details,veritas-tag,sender
Be Careful with this message,You're building quite the voluminous vocabulary.,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe901072736505747d-48964_HTML-\n813318449-6424583-\n22968@send.grammarly.com). It looks\nSuspicious phishing\nSome phrases used in phishing emails\nare inclided,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This message looks secure,VC update Tuesday 18 July,No Record in Sent items\nstudentinfo@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (studentinfo@auckland.ac.nz),e.veritas:Legitimate,University of Auckland <studentinfo@auckland.ac.nz>
This message looks secure,Idea discussed on MOnday,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
Be Careful with this message,[cs-grad] Kiwijam game jam next weekend - make a game in 46 hours,No Record in Sent items\nrm.young @auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (rm.young@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.\nSuspicious Phishing Email\nThe creation date of the link\n(@kiwiiam arn) ic not found in,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of R:
Be Careful with this message,Course Enrollment Email,Suspicious phishing\nContains many phrases used in phishing\nemails\nNo Record in Sent items\nnoreply@skillsforall.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@skillsforall.com),e.veritas:Legitimate,Networking Academy <noreply@skillsforall.com>
This message looks secure,MPI's Grad Development Programme. What to expect and how you'll be supported,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Job Opportunity - The University of Auckland <careers@auckland.a
Be Careful with this message,Re: [cs-grad] Email lists,No Record in Sent items\nrosb792@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (rosb792@aucklanduni.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Ruby o <rosb792@
Be Careful with this message,"[cs-grad] Please disregard, email sent in error re Email lists - thanks Robyn",No Record in Sent items\nrm.young @auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (rm.young@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Robyn Young <rm.\
Be Careful with this message,[cs-grad] Wellbeing Workshop scheduled for 30 August 2023,No Record in Sent items\nm.rodrigues@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (m.rodrigues@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of V
Be Careful with this message,[cs-grad] Email lists,No Record in Sent items\nrm.young @auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (rm.young@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Robyn Young <rm.\
This message looks secure,Week 1 - Welcome: INFOSYS 727: Advanced Information Security,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,INFOSYS 727: Advanced Information Security <notifications@instructure.con
This message looks secure,Are you recruitment ready? Get top tips direct from employers!,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Career Event - The University of Auckland <careers@auckland.ac.nz>
Be Careful with this message,phishing meeting,Suspicious email address\nThe Original Sender email address is\nszhu842@aucklanduni.ac.nz\nNo Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Google Calendar <calendar-notification@google.com> on behalf ?? ime
This message looks secure,Searching for internship or graduate opportunities? Look no further!,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Career Event - The University of Auckland <careers@auckland.ac.nz>
Be Careful with this message,You used numerous new words last week!,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe9810727365047f7d-48964_HTML-\n813318449-6424583-\n4930@send.grammarly.com). It looks\nSuspicious phishing\nSome phrases used in phishing emails\nare inclided,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
Be Careful with this message,[cs-grad] Join the Women in Computer Science Network - Positions Available!,No Record in Sent items\nrm.young @auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (rm.young@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,"Ce Anna Tecfimen,",cs-grad-request@list.science.auckland.ac.nz on behalf of R:
Be Careful with this message,New Result/grade available on SSO,Suspicious email address\nThe Original Sender email address is\nnoreply@auckland.ac.nz\nNo Record in Sent items\nnoreply@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@auckland.ac.nz),e.veritas:Legitimate,noreply@auckland.ac.nz
Be Careful with this message,"Kia ora Hongjian, the Velocity $100k Challenge invites you to enter!",Suspicious Scam Email\nThe reply address is strange. (\ncie@auckland.ac.nz)\nNo Record in Sent items\nno-reply@response.auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-\nreply@response.auckland.ac.nz)\nUndefined Category Domain\n@response.auckland.ac.nz is a unkown\ndamain amonno cecturitvy comnanie<.,e.veritas:Legitimate,The University of Auckland <no-reply@response.auckland.ac.nz>
This message looks secure,Outlook add-in investigation report (CS791),No Record in Sent items\nhche407@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (hche407@aucklanduni.ac.nz),e.veritas:Legitimate,Hongjian Chen <hche407@aucklanduni.ac.nz>
Be Careful with this message,[cs-grad] Markers needed for CS315 and potentially CS701 and CS760,No Record in Sent items\nburkhard@cs.auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (burkhard @cs.auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Burkhard Wuensche
This message looks secure,Re: Research Materials,No Record in Sent items\nIbet419@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (Ibet419@aucklanduni.ac.nz),e.veritas:Legitimate,Lucas Betts <Ibet419@aucklanduni.ac.nz>
Be Careful with this message,[cs-grad] Markers for 2023 Semester 2,No Record in Sent items\nburkhard@cs.auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (burkhard @cs.auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Burkhard Wuensche
This message looks secure,Re: Outlook JS add-in summarisation and possible way-out,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
This message looks secure,Delivery Status Notification (Failure),No Record in Sent items\nmailer-daemon@googlemail.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (mailer-\ndaemon@googlemail.com),e.veritas:Legitimate,Mail Delivery Subsystem <mailer-daemon@googlemail.com>
This message looks secure,Any comment on when Final Results will be released,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
This message looks secure,Re: Outlook JS add-in summarisation and possible way-out,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
This message looks secure,Re: Outlook JS add-in summarisation and possible way-out,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
Be Careful with this message,You've reached a new weekly streak milestone!,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe8f107273640c7872-48964_HTML-\n813318449-6424583-\n17397@send.grammarly.com). It looks\nSuspicious phishing\nSome phrases used in phishing emails\nare inclided,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
Be Careful with this message,Re: Outlook JS add-in summarisation and possible way-out,No Record in Sent items\nRobertBiddle@cunet.carleton.ca is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(RobertBiddle@cunet.carleton.ca)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,Robert Biddle <RobertBiddle@cunet.carleton.ca>
This message looks secure,Final scores,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
This message looks secure,Re: Outlook JS add-in summarisation and possible way-out,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
Be Careful with this message,Recent Canvas notifications,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com)\nSuspicious Spam Messages\nThe reply address is strange. (\nreply+90be9944164c68a1-\n6199~241964966-\n1688202223 @notifications.canvasIms.com,e.veritas:Legitimate,University of Auckland - Canvas <notifications@instructure.com>
Be Careful with this message,New Result/grade available on SSO,Suspicious email address\nThe Original Sender email address is\nnoreply@auckland.ac.nz\nNo Record in Sent items\nnoreply@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@auckland.ac.nz),e.veritas:Legitimate,noreply@auckland.ac.nz
Be Careful with this message,Item shared with you: ?€?Final-Report_szhu842.pdf',Suspicious Scam Email\nThe reply address is strange. (\nszhu842@aucklanduni.ac.nz)\nNo Record in Sent items\ndrive-shares-dm-noreply@google.com is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (drive-shares-dm-\nnoreply@google.com),e.veritas:Legitimate,Sijie Zhuo (via Google Drive) <drive-shares-dm-noreply@google.com>
This message looks secure,Fwd: Weekly Update 29/06/2023,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
This message looks secure,Re: Outlook add-in prototype 0625,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
This message looks secure,Re: Outlook add-in prototype 0625,No Record in Sent items\nhche407@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (hche407@aucklanduni.ac.nz),e.veritas:Legitimate,Hongjian Chen <hche407@aucklanduni.ac.nz>
This message looks secure,Share videos: outlook add-in,No Record in Sent items\nhche407@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (hche407@aucklanduni.ac.nz),e.veritas:Legitimate,Hongjian Chen <hche407@aucklanduni.ac.nz>
This message looks secure,VC update Wednesday 28 June,No Record in Sent items\nstudentinfo@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (studentinfo@auckland.ac.nz),e.veritas:Legitimate,University of Auckland <studentinfo@auckland.ac.nz>
Be Careful with this message,New tone alert! @,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe9210727364017a70-48964_HTML-\n813318449-6424583-\n1389@send.grammarly.com). It looks like,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This message looks secure,Outlook add-in prototype 0625,No Record in Sent items\nhche407@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (hche407@aucklanduni.ac.nz),e.veritas:Legitimate,Hongjian Chen <hche407@aucklanduni.ac.nz>
This message looks secure,VC update Friday 23 June,No Record in Sent items\nstudentinfo@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (studentinfo@auckland.ac.nz),e.veritas:Legitimate,University of Auckland <studentinfo@auckland.ac.nz>
This message looks secure,Our Get Kiwi ready series for international students is starting soon!,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Career Event - The University of Auckland <careers@auckland.ac.nz>
Be Careful with this message,[cs-grad] Information for Masters and PG students,No Record in Sent items\nrm.young @auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (rm.young@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Robyn Young <
Be Careful with this message,You've achieved grammar greatness!,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe9e10727364067f74-48964_HTML-\n813318449-6424583-\n9425@send.grammarly.com). It looks like,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This message looks secure,Re: Research materials,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
Be Careful with this message,[cs-grad] EOI for CS 399 and SE 752 GTA in Semester 2,No Record in Sent items\nSudeep.stephen@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(Sudeep.stephen@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Sudeep Stephen <
This message looks secure,[GitHub] A third-party GitHub Application has been added to your account,No Record in Sent items\nnoreply@github.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@github.com),e.veritas:Legitimate,GitHub <noreply@github.com>
This message looks secure,Re: Research Materials,No Record in Sent items\nIbet419@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (Ibet419@aucklanduni.ac.nz),e.veritas:Legitimate,Lucas Betts <Ibet419@aucklanduni.ac.nz>
This message looks secure,VC update Friday 16 June,No Record in Sent items\nstudentinfo@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (studentinfo@auckland.ac.nz),e.veritas:Legitimate,University of Auckland <studentinfo@auckland.ac.nz>
This message looks secure,Re: Phishing detection program enrollment,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
This message looks secure,Re: Phishing detection program enrollment,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
This message looks secure,Re: Research materials,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
Be Careful with this message,phishing meeting,Suspicious email address\nThe Original Sender email address is\nszhu842@aucklanduni.ac.nz\nNo Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Google Calendar <calendar-notification@google.com> on behalf of szhu84
Be Careful with this message,New Result/grade available on SSO,Suspicious email address\nThe Original Sender email address is\nnoreply@auckland.ac.nz\nNo Record in Sent items\nnoreply@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@auckland.ac.nz),e.veritas:Legitimate,noreply@auckland.ac.nz
This message looks secure,Get Kiwi-ready: industry insights for a great career start,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Career Event - The University of Auckland <careers@auckland.ac.nz>
Be Careful with this message,New tone detected ?€? way to change up your communication style.,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfea010727364047c77-48964_HTML-\n813318449-6424583-\n7585 @send.grammarly.com). It looks like,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This message looks secure,Re: Research materials,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
Be Careful with this message,[GitHub Education] & @KevinHChen,No Record in Sent items\nedu-noreply@github.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (edu-noreply@github.com)\nSuspicious Phishing Email\nThe creation date of the link\n(@education.github.com) is not found in\nreputation Database.,e.veritas:Legitimate,GitHub Education <edu-noreply@github.com>
This message looks secure,Re: Phishing detection program enrollment,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
Be Careful with this message,"RE: [cs-grad] Expression of Interest for GTA position in Semester 2, 2023",No Record in Sent items\nSudeep.stephen@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(Sudeep.stephen@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Sudeep Stephen <
This message looks secure,Exam online: COMPSCI 727: Cryptographic Management,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,COMPSCI 727: Cryptographic Management <notifications@instructure.com>
This message looks secure,Why did it says city when it is online?,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
This message looks secure,[Instr Note] Presentation 42: Faster fixed parameter tractable algorithms for finding feedback vertex sets,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 720 on Piazza <no-reply@piazza.com>
This message looks secure,[Instr Note] Presentation 42: Faster fixed parameter tractable algorithms for finding feedback vertex sets,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 720 on Piazza <no-reply@piazza.com>
This message looks secure,[Instr Note] Presentation 42: Faster fixed parameter tractable algorithms for finding feedback vertex sets,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 720 on Piazza <no-reply@piazza.com>
This message looks secure,[Instr Note] Presentation 42: Faster fixed parameter tractable algorithms for finding feedback vertex sets,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 720 on Piazza <no-reply@piazza.com>
This message looks secure,[Instr Note] Presentation 42: Faster fixed parameter tractable algorithms for finding feedback vertex sets,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 720 on Piazza <no-reply@piazza.com>
This message looks secure,Question on PGP (2020),No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
Be Careful with this message,[GitHub] Please verify your email address.,No Record in Sent items\nnoreply@github.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@github.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,GitHub <noreply@github.com>
This message looks secure,Question for Group 17 (from Group 18),No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
Be Careful with this message,High fives on your grammar!,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe8c1072706d0c7d72-48964_HTML-\n813318449-6424583-\n51110@send.grammarly.com). It looks like,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This message looks secure,Question for Group 20,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
This message looks secure,[Instr Note] Presentation 42: Faster fixed parameter tractable algorithms for finding feedback vertex sets,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 720 on Piazza <no-reply@piazza.com>
This message looks secure,[Instr Note] Presentation 42: Faster fixed parameter tractable algorithms for finding feedback vertex sets,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 720 on Piazza <no-reply@piazza.com>
This message looks secure,Example Exam Questions: COMPSCI 727: Cryptographic Management,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,COMPSCI 727: Cryptographic Management <notifications@instructure.com>
Be Careful with this message,Recent Canvas notifications,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com)\nSuspicious Spam Messages\nThe reply address is strange. (\nreply+d7c11d7b79d306fc-\n6199~240155708-\n1685782985 @notifications.canvasIms.com,e.veritas:Legitimate,University of Auckland - Canvas <notifications@instructure.com>
This message looks secure,Final reminder - S1 SET Evaluations close this Sunday,No Record in Sent items\nquality@set.auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (quality@set.auckland.ac.nz),e.veritas:Phishing,Academic Quality Office <quality@set.auckland.ac.nz>
This message looks secure,A3 and Presentation Marks,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
This message looks secure,Question for Group 6,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
This message looks secure,question for group 22,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 727 on Piazza <no-reply@piazza.com>
This message looks secure,Re: Phishing detection program enrollment,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
