sead-result,title,sead-details,veritas-tag,sender
This email seems dangerous,Your account is currently under review.,Suspicious Phishing Email\nCreation date of Internet Link (@s.id) is not\nsearched in database.\nMalicious Internet Link\nDomain of Internet Link (@s.id) is\nsuspected of a malicious site.\nNo Record in Sent items\nno-reply@contentcreationnepal.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(no-reply@contentcreationnepal.com),e.veritas:Legitimate,_ USAA <no-reply@contentcreationnepal.com>
Be Careful with this message,‘You Have A New Message From E*TRADE!,No Record in Sent items\n4ebUCGKx44 @izhartechnical.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(4ebUCGKx44 @izhartechnical.com)\nUndefined Category Domain\n@izhartechnical.com is a unkown domain\namong security companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,_ E*TRADE Supports. <4ebUCGKx44@izhartechnical.com>
This message looks secure,Email Service Suspension Notification,No Record in Sent items\nproject@yescoindia.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(project@yescoindia.com),e.veritas:Legitimate,- Email Service <project@yescoindia.com>
This email seems dangerous,Bloqueo del Vehiculo - Multa no pagada,Malicious Internet Link\nDomain of Internet Link\n(@chozaamarillas.eastus.cloudapp.azure.co\nm) has very bad reputation.\nNo Record in Sent items\ncomunicacion77543@comunicacion19.souz\nIdop.es is not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(comunicacion77543@comunicacion19.sou\nzldop.es)\nSuspicious Internet Link\nDomain of Internet Link\n(@chozaamarillas.eastus.cloudapp.azure.co,e.veritas:Phishing,_ Ministerio del Interior 775657 <comunicacion77543@comunicacion19.souzidop.es>
Be Careful with this message,Your E-mail Requestjose@monkey.org,Suspicious Sender Domain\nThe creation date is not searched with\n@afasa.com.mx\nNo Record in Sent items\nservicios.compras@afasa.com.mx is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(servicios.compras@afasa.com.mx),e.veritas:Legitimate,- monkey.org <servicios.compras@afasa.com.mx>
This email seems dangerous,jose@monkey.org have stopped processing incoming emails.,Suspicious Internet Link\nDomain of Internet Link\n(@joyasesmeralda.com) has bad reputation.\nNo Record in Sent items\nship@astech-vn.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(ship@astech-vn.com)\nSuspicious Phishing Email\nThe creation date of the link\n(@joyasesmeralda.com) is not found in,e.veritas:Phishing,- monkey.org <ship@astech-vn.com>
Be Careful with this message,: You have A New Mail From e*trade.,Suspicious Sender Domain\nThe creation date is not searched with\n@charpmanshippingfoodllc.org\nNo Record in Sent items\nyWd3nBl4Ld@charpmanshippingfoodllc.or\ng is not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(yWd3nBl4Ld@charpmanshippingfoodllc.or\ng)\nUndefined Category Domain\n@charpmanshippingfoodllc.org is a\nunkown domain among security,e.veritas:Phishing,- E*TRADE Support <yWd3nBl4Ld@charpmanshippingfoodllc.org>
Be Careful with this message,Your Email Account (jose@monkey.org) password is set to expire in 3 days,Suspicious Sender Domain\nThe creation date is not searched with\n@digi.com.kh\nNo Record in Sent items\nadmin @digi.com.kh is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(admin@digi.com.kh)\nSuspicious Phishing Email\nThe creation date of the link\n(@intranet.thecreativetrunk.com) is not,e.veritas:Phishing,- monkey.org <admin@digi.com.kh>
Be Careful with this message,[SPAM] You have received a file via Wetransfer,Suspicious Sender Domain\nThe creation date is not searched with\n@admin.uni-sofia.bg\nNo Record in Sent items\npstanulov@admin.uni-sofia.bg is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(pstanulov@admin.uni-sofia.bg),e.veritas:Legitimate,_ WeTransfer <pstanulov@admin.uni-sofia.bg>
Be Careful with this message,Standard Bank Account eStatement 2021-03-10,No Record in Sent items\nstatement@standardbank.co.za is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(statement @standardbank.co.za)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,_ Standard Bank <statement@standardbank.co.za>
Be Careful with this message,Your package is waiting for delivery,Suspicious Phishing Email\nCreation date of Internet Link\n(@mynewpet.com.au) is not searched in\ndatabase.\nNo Record in Sent items\nSupport@deccanplastic.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(Support@deccanplastic.com)\nSuspicious Phishing Email\nThe creation date of the link\n(@mynewpet.com.au) is not found in,e.veritas:Legitimate,- DHL-Express <Support@deccanplastic.com>
Be Careful with this message,Nedbank Credit Card monthly Charges eStatement,No Record in Sent items\nconsumerstatements@nedbankestatements\n-com is not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(consumerstatements@nedbankestatement\ns.com)\nUndefined Category Domain\n@nedbankestatements.com is a unkown\ndomain among security companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas: Weming,~ Nedbank Credit Card monthly eStatement <consumerstatements@nedbankestatements.cc
This message looks secure,Password for jose@monkey.org expires today 28/02/2021,No Record in Sent items\nbhvkkpk@piac.aero is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(bhvkkpk@piac.aero),e.veritas:Legitimate,~ monkey.org Admin <bhvkkpk@piac.aero>
Be Careful with this message,Email Service Upgrade,No Record in Sent items\ninfo@supercynic.live is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@supercynic.live)\nUndefined Category Domain\n@supercynic.live is a unkown domain among\nsecurity companies.,e.veritas:Phishing,~ monkey.org Mail Server <info@supercynic.live>
Be Careful with this message,Notification - MailBox has (3) Pending emails,Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\nnoreply@monkey.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(noreply@monkey.org),e.veritas:Legitimate,~ monkey.org <noreply@monkey.org>
Be Careful with this message,Notification - MailBox has (3) Pending emails,Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\nnoreply@monkey.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(noreply@monkey.org),e.veritas:Legitimate,~ monkey.org <noreply@monkey.org>
Be Careful with this message,Standard Bank Account eStatement 2021-02-11,No Record in Sent items\nstatement@standardbank.co.za is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(statement @standardbank.co.za)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,_ Standard Bank <statement@standardbank.co.za>
Be Careful with this message,Multa no pagada - bloque de vehiculos - [ id 628273011 ],Suspicious Sender Domain\nThe creation date is not searched with\n@interior.gob.es\nNo Record in Sent items\nnotificaciones@interior.gob.es is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(notificaciones@interior.gob.es),e.veritas:Phishing,_ Ministerio del Interior <notificaciones@interior.gob.es>
This email seems dangerous,Unusual sign-in-activity 2/4/2021 1:36:45 a.m. (EDT).,Suspicious Sender Domain\nThe creation date is not searched with\n@726.eryfj.ml\nSuspected Malicious Sender\n@726.eryfj.ml has a low reputation.\nNo Record in Sent items\nadmin@726.eryfj.ml is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(admin@726.eryfj.ml),e.veritas: Weming,- monkey.org <admin@726.eryfj.ml>
Be Careful with this message,Your Wells Fargo® monthly statement is available.,"No Record in Sent items\ninfo @cargoholdinc.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@cargoholdinc.com)\nGeo-Location of Sender\nThis message sent from United States of\nAmerica\nCalifornia, El Segundo\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe94167484939939383xgshsj07c60077d7c-",e.veritas:Legitimate,_ Wellsfargo. <info@cargoholdinc.com>
Be Careful with this message,Multa no pagada - bloque de vehiculos - [ id 990013050 ],Suspicious Sender Domain\nThe creation date is not searched with\n@interior.gob.es\nNo Record in Sent items\nnotificaciones@interior.gob.es is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(notificaciones@interior.gob.es),e.veritas:Phishing,_ Ministerio del Interior <notificaciones@interior.gob.es>
This message looks secure,Envio de Burofax Online - ultima advertencia - [id 77106725 ],No Record in Sent items\nnotificacion@notificados.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(notificacion@notificados.com),e.veritas:Legitimate,- Notificados.com <notificacion@notificados.com>
This message looks secure,Service Suspension Notification.,No Record in Sent items\nbcornett@pacific.net is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(bcornett@pacific.net),e.veritas:Legitimate,_ Fidelity Investments. <bcornett@pacific.net>
Be Careful with this message,New Recording [13913670],Malicious Internet Link\nDomain of Internet Link (@mayaadri-\nan32.web.app) has very bad reputation.\nNo Record in Sent items\ninfo@baliyev.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@baliyev.com),e.veritas: Weming,- Support <info@baliyev.com>
Be Careful with this message,New Recording [13913670],Malicious Internet Link\nDomain of Internet Link (@mayaadri-\nan32.web.app) has very bad reputation.\nNo Record in Sent items\ninfo@baliyev.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@baliyev.com),e.veritas: Weming,- Support <info@baliyev.com>
This message looks secure,New Recording [13913670],No Record in Sent items\ninfo@baliyev.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@baliyev.com),e.veritas: Weming,- Support <info@baliyev.com>
Be Careful with this message,> FedEx © Shipment Notification 384789299,Suspicious email address\nThe Original Sender email address is\nshipment@fedex.com\nNo Record in Sent items\nshipment@fedex.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(shipment@fedex.com),e.veritas:Phishing,shipment@fedex.com
Be Careful with this message,Please DocuSign: Offer20201116-0740974_jose.pdf,Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\nDocuSign@monkey.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(DocuSign@monkey.org),e.veritas: Weming,~ DocuSign via DocuSign <DocuSign@monkey.org>
